Name,Experiment,Trial,Sequence,Recall
av,SR,10,u j k f h i l t d q r p s z v,u j f g h i l a
av,SR,11,h x r c z t o i y p j b m s f,h x i r z
av,SR,12,y o r f e u i j d g z n k m x,y o r u i f e h d x
av,SR,13,d u l n e z s m j r c h k x b,d u n l c e m j
av,SR,14,g q m f a s e v n k t j y c o,m q g k f a j
av,SR,15,f m u b j t s z g c k r v e n,f m u j s b
av,SR,16,e z b j m g q x l r i a n p k,e m q j g z r
av,SR,17,y r h n p s t j c a z m x k u,y r h u j x n s
av,SR,18,x g v r i z c m l s k p f d b,x z r v h
av,SR,19,a f i s g q x v t k p c d l z,a f i z x k h i l
av,SR,20,p b q e k x u s i n c l g a v,p b q n h s a c
av,SR_ladida,1,b j v n u s z o i e y g r f x,n h u i
av,SR_ladida,2,z v c y u l j d k a e n h r q,n v c i
av,SR_ladida,3,p z j n l g k d u f s r y a o,q p i z d l
av,SR_ladida,4,t p y m s r d z n j g h k o e,y z r v s
av,SR_ladida,5,o k a g z x j i y r s c e f d,o k a g z i d
av,SR_ladida,6,t u s k v i j o x n c a m q e,t u s k v o j x
av,SR_ladida,7,m a s j k o r t h b c e d v f,m a s k j o v i
av,SR_ladida,8,u l s y t x v q z i b r f o d,y l u s a d
av,SR_ladida,9,h l m r n a v e x u g f k i q,u m v e a x
av,SR_ladida,10,m e v s x q i a c j f o b h l,m e v s x i a
av,SR_ladida,11,f i a s v t q k h d b e u g m,f i a s v t q k
av,SR_ladida,12,x j l y o d m s c t a n z r e,x j u o v m i
av,SR_ladida,13,d u n k r p o v t s e x m a z,d u n k r a s e x o
av,SR_ladida,14,g h x m o s i p k a u v j b r,u m s e p o j
av,SR_ladida,15,e k r o b t a q i s h p z x c,e m s k j
av,SR_ladida,16,c b y k r h m f e a q t z n x,e m s k
av,SR_ladida,17,c q k b g m i s h f l d y o u,c b q k f h i
av,SR_ladida,18,r p l b h i x s z e q f c u t,r h l p t q u
av,SR_ladida,19,y g x r q t k z p h o v s n m,y r x s z q
av,SR_ladida,20,g u t o z e r d l n m s y h j,g u t o z e r f l n x
av,SR_finger_tapping,1,y i e m x f t l n p g s r z v,y i u m n f t g
av,SR_finger_tapping,2,s x c j f g q b u i o t d z a,u p c j
av,SR_finger_tapping,3,x h d q e l v c n g s b o z t,x c h n g i
av,SR_finger_tapping,4,x f t a e r g y v i h m z o s,x f t r g i s
av,SR_finger_tapping,5,r s n b t a u k l i o d c q x,r n f h
av,SR_finger_tapping,6,z r t f j i m v a c y x n l p,z r n t i h v a c
av,SR_finger_tapping,7,f q b d m y z v i u o n e j p,f m q i k l j v
av,SR_finger_tapping,8,p a n z g k r i y x l b f h m,p a n z i e h
av,SR_finger_tapping,9,p b l g q t z c j a m f e d x,p b l g q x j a
av,SR_finger_tapping,10,v q y e n f o a i p h b u m g,q u y v r o e a i
av,SR_finger_tapping,11,m o b h f n g p j s c k i r y,m o b h f n i k r s
av,SR_finger_tapping,12,j v u l a e f z g y s c r q k,j v u l i a n r g
av,SR_finger_tapping,13,c x a t j l z v h e o q f i u,c x j v u l t
av,SR_finger_tapping,14,v i s n u a k r z q f p e j t,v i s n u k a p
av,SR_finger_tapping,15,b v l t m e q g r c p d u n y,b v n q r s
av,SR_finger_tapping,16,c i v u s t e m r a p n b x z,c i v u r s t a
av,SR_finger_tapping,17,t a s h k d q j r c y l u z o,t u s h k d t r c q
av,SR_finger_tapping,18,c j o v g b d t r q p y i h e,c j o v d p b q r t
av,SR_finger_tapping,19,o n z q f u k m h c y s a r t,o n g z u o h j
av,SR_finger_tapping,20,n k a v p c m y j d u b o s h,o n a v p c a j
