Name,Experiment,Trial,Sequence,Recall
liv,FR_working_mem_task,4,j e f x h m p y t b a q g o i,f x b a g o i
liv,FR_working_mem_task,1,c k m o s z i t a n h d u e p,c k t a n u e
liv,FR_working_mem_task,2,b c h x o r y p j v i t d f s,v i t h o r t a n
liv,FR_working_mem_task,3,e o m r f s c x h g v d t l k,m o r e t d l
liv,FR_working_mem_task,4,o m q l h x c t b f i p k v j,f i c b
liv,FR_working_mem_task,5,r g m h s d f c o u e k n v i,f c o u i l
liv,FR_working_mem_task,1,r c d e m g u l a f i q z n x,r c d e m g u l x
liv,FR_working_mem_task,2,o u x k g l e t i z n y s a c,g u l e t i n s a c
liv,FR_working_mem_task,3,d i p l e x g t b v k z f h a,d i p l e g x a
liv,FR_working_mem_task,4,k d l x u i v c s p t f z m a,l u x i s c r m a t
liv,FR_working_mem_task,5,n r p o d s v c k u e a x q i,p o r n s c u a e
liv,FR_working_mem_task,1,g c x m s l y d h p a t e v b,g c x m s l y a t e
liv,FR_working_mem_task,2,k f z x g a d v e j l y r s n,g a d e l y s e n
liv,FR_working_mem_task,3,l u g o a f j p x r z v n i q,l u g o a f v i n g
liv,FR_working_mem_task,4,x t d n e o v i g k u l h f r,v e n g i k r u f
liv,FR_working_mem_task,5,n r a k f t u e i l d m h v s,r a n k h e l s
liv,SR_chunking,1,air per run won out two top law due guy win cup mom way how,air per run won out too
liv,SR_chunking,2,and hey cut but get yes see out all one put son due car any,mom run got but
liv,SR_chunking,3,age and are any cup yet its men see for day god two few now,age and are any cup yet its men
liv,SR_chunking,4,lot day the but tax dog son try how two for saw won per can,lot day the but tax dog
liv,SR_chunking,5,die did big its put had ask was key low law fun old say the,die did big its put hat
liv,SR_chunking,6,eat all who ago six two car new bit man guy let run one art,est all who ago six two car
liv,SR_chunking,7,few cut bed law any add bit job own age one too met due red,few cut bed law any add bit
liv,SR_chunking,8,him red way non pay hot guy bed hit ask law why out you boy,him red way non bet cut
liv,SR_chunking,9,her led pay was hey tax lot can air ask yet per oil mom far,her led pay was hey tax cut
liv,SR_chunking,10,oil lot man has eat add saw guy act put for yes bad use few,oil let man has eat
liv,SR_chunking,1,air per run won out two top law due guy win cup mom way how,air per run won out too
liv,SR_chunking,2,and hey cut but get yes see out all one put son due car any,mom run got but
liv,SR_chunking,3,age and are any cup yet its men see for day god two few now,age and are any cup yet its men
liv,SR_chunking,4,lot day the but tax dog son try how two for saw won per can,lot day the but tax dog
liv,SR_chunking,5,die did big its put had ask was key low law fun old say the,die did big its put hat
liv,SR_chunking,6,eat all who ago six two car new bit man guy let run one art,est all who ago six two car
liv,SR_chunking,7,few cut bed law any add bit job own age one too met due red,few cut bed law any add bit
liv,SR_chunking,8,him red way non pay hot guy bed hit ask law why out you boy,him red way non bet cut
liv,SR_chunking,9,her led pay was hey tax lot can air ask yet per oil mom far,her led pay was hey tax cut
liv,SR_chunking,10,oil lot man has eat add saw guy act put for yes bad use few,oil let man has eat
liv,SR_finger_tapping,1,p u q s v y h j o l e k m i t,p u q s v y
liv,SR_finger_tapping,1,u f j h a v o g t e s l d i q,u f j h a v o
liv,SR_finger_tapping,2,c f b g a o s d h j k y q x m,c f v g a o s d
liv,SR_finger_tapping,3,b q i u f z v c g m n e l h s,b g i q f z v
liv,SR_finger_tapping,4,c a k e z f u q p v d o b i h,c a k e z
liv,SR_finger_tapping,5,m q x p j s h n l u e a t i d,m q p x j s h
liv,SR_finger_tapping,6,q a e h y g u i t m n b j l o,q a e g h e i
liv,SR_finger_tapping,7,u q p o b v g a t y h j s k n,u q b o p v
liv,SR_finger_tapping,8,b z m h o a x f g t r p y s c,b z m o h a
liv,SR_finger_tapping,9,o z x m g d s p n h j b k y f,o z x m g d s
liv,SR_finger_tapping,10,y f u r z q c a g x d t m o s,y f u r z k s
liv,SR_finger_tapping,11,t g b u l q r c v h s k m x f,t g b u l q
liv,SR_finger_tapping,12,l o c u x i r m h e z f j g t,l u c o x i
liv,SR_finger_tapping,13,k l n e u q j d i m t o v z y,k l n e u k j
liv,SR_finger_tapping,14,v n u i h t s y g r j f p d z,v n u i h t s
liv,SR_finger_tapping,15,p x e u c h t q s k o i g z f,p x e u t c
liv,SR_finger_tapping,16,u z x q a m b t e n y d s v r,u z x q a m
liv,SR_finger_tapping,17,g i f x t z p v e a k r q s d,g i f x t z p
liv,SR_finger_tapping,18,u x k c o h y g f b r q l j v,u x k c o h y
liv,SR_finger_tapping,19,u l p a m r c h v x s d j f e,u l p a m r c h m x
liv,SR_ladida,1,j g c o m q r t k a v y d x s,j g c
liv,SR_ladida,1,o g z v b c s h a p x l f q t,o g z v
liv,SR_ladida,2,l f u p b a t c o z k h n j s,l o f g p
liv,SR_ladida,3,p m j k u e y v r c q z n o x,p m j k
liv,SR_ladida,4,c e p d k i f v h y l t s j r,c e p d k
liv,SR_ladida,5,z l k e d r q f n i c h y m o,z l k e d
liv,SR_ladida,6,x g h v y c r s k o q f e i l,x g h v
liv,SR_ladida,7,r j o z b a f y m u g n x c e,r j o
liv,SR_ladida,8,z q u n k f j c b p t l i g m,z q u n k
liv,SR_ladida,9,u j c t i z v h b l a n r p g,u j c t
liv,SR_ladida,10,i o y e g l r f j t s n q u h,i u y e
liv,SR_ladida,11,y x v n j s c t d g k i z b h,x u y n
liv,SR_ladida,12,z i b c k s e x p l v y f t r,z i b c
liv,SR_ladida,13,v a j b u r g y m q z p s d h,v a j b u r
liv,SR_ladida,14,f n r j y q k s x l e u o d v,f n r j
liv,SR_ladida,15,v n z a h d l q c p e m k b y,v n z a
liv,SR_ladida,16,f g y q j p k u i l h a c b v,f g y g j
liv,SR_ladida,17,f b p j n v i s y x q o h r k,f b j
liv,SR_ladida,18,v m a s q f g r e j d t x i c,v m a s q f g
liv,SR_ladida,19,u b s o c y m d x t p v l f i,u b o s
